feature,rf,et,combined
vapor_pressure_deficit_kpa_roll7_mean,0.09040519007294304,0.06473650073652273,0.07772562695755121
landsat_ndvi,0.04829785109692642,0.07795194786945915,0.06294608602350574
s2_ndvi,0.05150251931958431,0.07132657927727724,0.061295010714157924
landsat_gndvi,0.048108566316856435,0.07418479704827659,0.06098944266535921
relative_humidity_pct,0.03897966620500598,0.08055847006642904,0.059518348991407
landsat_savi,0.0442562790266672,0.07249659565432631,0.058206148939619645
vapor_pressure_deficit_kpa,0.03800173887259755,0.07840123565791983,0.057957879313035005
s2_evi,0.04981653067330633,0.06391810001300359,0.056782283233764136
s2_savi,0.04694469648127819,0.0658534772580346,0.056285067395885485
s2_gndvi,0.038464538051531785,0.0585666439318219,0.048394375797465305
vapor_pressure_deficit_kpa_lag7,0.022585075820778205,0.05174067654070769,0.03698706863974868
relative_humidity_pct_lag7,0.022245401882501927,0.04982139584415787,0.03586711631146474
vapor_pressure_deficit_kpa_roll14_mean,0.018624466824169485,0.01812459206201871,0.018377543675370873
vapor_pressure_deficit_kpa_lag14,0.017188926062822324,0.018213790097511402,0.017695178175745653
s2_ndvi_lag3,0.009345468625668926,0.01751611687839225,0.013381523948021397
precipitation_mm_lag5,0.02193505111883215,0.0024067328244314194,0.012288647241093449
precipitation_mm_lag10,0.02061746540114963,0.0031899682508813644,0.012008804196675604
relative_humidity_pct_lag1,0.0063530367578671955,0.017003199758143402,0.011613898042265177
vapor_pressure_deficit_kpa_lag1,0.0068574851553650324,0.016457880860439297,0.011599792862619467
precipitation_mm_lag30,0.020968911176840067,0.0017873755405556197,0.011493807537429856
relative_humidity_pct_lag3,0.003995199756912086,0.019088725301335804,0.011450948948701113
landsat_ndvi_lag3,0.009355248802155047,0.01126599262221358,0.010299098974878972
vapor_pressure_deficit_kpa_lag3,0.0042290865278445,0.013270705800958918,0.00869537542698723
landsat_ndvi_lag1,0.011678567137492525,0.0046180937819192015,0.008190904936933164
wind_speed_ms,0.014841720154901305,0.001061605521118686,0.008034756583587615
s2_ndvi_lag1,0.011996282952890545,0.003935619356647229,0.008014556754058388
wind_direction_deg,0.014227326206396542,0.0011110094052905735,0.007748258867141019
s2_ndvi_lag14,0.010461875956846332,0.004453307172917765,0.007493823083928587
landsat_ndvi_lag14,0.010902670328025997,0.003999207460283491,0.007492566602078918
aspect_mean_deg,0.012451738705838787,0.0013348208024582045,0.0069603144902461314
v_wind_component_ms,0.012484709980452235,0.0011406494416679605,0.00688108411155151
precipitation_mm_roll7_sum,0.012099692056970339,0.001451688993139275,0.006839897716432344
precipitation_mm_roll30_sum,0.011878882549810578,0.00150107197662435,0.006752555200653994
soil_temperature_celsius_lag7,0.011094863368996767,0.0022485965347160534,0.006725072718964994
u_wind_component_ms,0.011401389146929548,0.0007768115164152369,0.00615316626827464
precipitation_mm_lag1,0.010676609177717549,0.0014529020626974044,0.006120374342741106
elevation_min_m,0.010000487712429278,0.0015088041737533803,0.005805850581821878
temperature_2m_celsius_lag7,0.010288215014105961,0.0008291610823244655,0.00561572590615041
precipitation_mm_roll14_sum,0.009843220455215906,0.0012763024235904227,0.005611419740238998
landsat_ndvi_roll14_mean,0.009227188439964595,0.0016539799231913394,0.005486250438965717
s2_ndvi_roll14_mean,0.009288565024906919,0.0015492569272758652,0.005465578809785228
s2_ndvi_lag7,0.008704755717140352,0.0017925535096298536,0.005290335019308858
temperature_2m_celsius_lag3,0.009417519497491313,0.0008373315728629696,0.005179163853134916
landsat_ndvi_lag7,0.008441768470296365,0.0017742437983254442,0.005148211140832913
temperature_2m_celsius_lag1,0.00958428230791041,0.0005377405123733514,0.00511556183024309
soil_temperature_celsius_lag1,0.008072228705916612,0.0012829258755631347,0.004718516616502212
precipitation_mm,0.00773907792433292,0.0015312773705946246,0.00467261052908468
temperature_2m_celsius_roll14_mean,0.008010643322748265,0.0009058895856933054,0.004501107941037679
soil_temperature_celsius_lag3,0.0074713404925526505,0.0011333415807137006,0.0043405590110875
slope_min_deg,0.007289228563003545,0.001017626704435558,0.004191245235608174
slope_max_deg,0.0068775638663313675,0.0009149167168755327,0.003932194904346029
landsat_ndvi_roll7_mean,0.006902984192667373,0.0005625294291027218,0.003770989594063675
s2_ndvi_roll7_mean,0.006539454588027478,0.0005884466743749846,0.003599835059643878
temperature_2m_celsius_roll7_mean,0.005923049565166244,0.0007504853931946714,0.00336795791138746
skin_temperature_celsius,0.005091637938705182,0.000844063098828955,0.002993463288504216
dewpoint_2m_celsius,0.004993342994447445,0.000893144252924791,0.002967967719247015
lst_day_c,0.00501871745376695,0.0008490954736573483,0.0029590491796602945
soil_moisture_m3m3,0.0,0.0,0.0
veg_data_quality,0.0,0.0,0.0
landsat_nbr,0.0,0.0,0.0
s2_cloud_cover_percent,0.0,0.0,0.0
s2_ndsi,0.0,0.0,0.0
s2_ndwi,0.0,0.0,0.0
elevation_stddev_m,0.0,0.0,0.0
slope_stddev_deg,0.0,0.0,0.0
lst_missing_flag,0.0,0.0,0.0
aspect_stddev_deg,0.0,0.0,0.0
elevation_range_m,0.0,0.0,0.0
mtpi_mean,0.0,0.0,0.0
mtpi_max,0.0,0.0,0.0
mtpi_min,0.0,0.0,0.0
mtpi_stddev,0.0,0.0,0.0
soil_moisture_m3m3_lag1,0.0,0.0,0.0
skin_temperature_celsius_lag7,0.0,0.0,0.0
skin_temperature_celsius_lag3,0.0,0.0,0.0
skin_temperature_celsius_lag1,0.0,0.0,0.0
soil_moisture_m3m3_lag7,0.0,0.0,0.0
soil_moisture_m3m3_lag14,0.0,0.0,0.0
soil_moisture_m3m3_lag3,0.0,0.0,0.0
clear_day_coverage,0.0,0.0,0.0
clear_night_coverage,0.0,0.0,0.0
