Feature,Importance
vapor_pressure_deficit_kpa_roll14_mean,8.715405561284898
dewpoint_2m_celsius,7.537351327365874
mtpi_min,6.619068656989919
clear_day_coverage,6.253190198993523
relative_humidity_pct,6.166211710600404
landsat_savi,4.124031194275222
vapor_pressure_deficit_kpa,4.10904032076182
lst_day_c,3.605981319251319
relative_humidity_pct_lag1,3.369907696157387
precipitation_mm_lag1,2.7416889060702836
relative_humidity_pct_lag3,2.536792853738468
aspect_stddev_deg,2.4534599062103997
slope_stddev_deg,2.353713732802144
slope_max_deg,2.233678687030589
vapor_pressure_deficit_kpa_lag7,2.170962579832626
relative_humidity_pct_lag7,2.153594491003106
precipitation_mm_lag5,2.0473532678046316
elevation_range_m,1.914032901661291
mtpi_mean,1.6969434622830424
vapor_pressure_deficit_kpa_lag1,1.665842065147857
precipitation_mm_roll14_sum,1.652651083782097
mtpi_max,1.6524290317489525
temperature_2m_celsius_lag7,1.5520292956487818
elevation_min_m,1.4719956814765254
vapor_pressure_deficit_kpa_roll7_mean,1.3493230402597642
skin_temperature_celsius_lag1,1.3108998795214317
skin_temperature_celsius_lag7,1.1384572779889541
mtpi_stddev,1.1370424561311971
vapor_pressure_deficit_kpa_lag14,1.0629258098722463
wind_speed_ms,1.023091074190544
skin_temperature_celsius,0.9335589498258843
clear_night_coverage,0.8218402701553796
soil_temperature_celsius_lag7,0.8096455410506141
landsat_ndvi_lag1,0.7337432859959475
soil_temperature_celsius_lag1,0.6987845838245131
v_wind_component_ms,0.6304469673689447
elevation_stddev_m,0.5814736329248549
vapor_pressure_deficit_kpa_lag3,0.5583063643792416
temperature_2m_celsius_roll14_mean,0.5412253123568997
precipitation_mm_roll30_sum,0.51591919877789
skin_temperature_celsius_lag3,0.5046529080229025
temperature_2m_celsius_lag1,0.43329786996045516
landsat_nbr,0.4113841553282283
temperature_2m_celsius_lag3,0.39061147495376125
precipitation_mm,0.3583999047136156
temperature_2m_celsius_roll7_mean,0.3151891304248089
wind_direction_deg,0.3098245047333819
precipitation_mm_lag10,0.29782566748161515
landsat_ndvi_lag3,0.2573037555027423
landsat_ndvi,0.23256758414164605
soil_temperature_celsius_lag3,0.22981436142643014
landsat_gndvi,0.22120431503218765
soil_moisture_m3m3_lag3,0.21200762449024058
soil_moisture_m3m3_lag7,0.19693399568900566
u_wind_component_ms,0.1571201180062344
s2_ndvi_lag7,0.14693180268209374
landsat_ndvi_roll14_mean,0.13465595059283436
soil_moisture_m3m3_lag14,0.09241957373147507
s2_gndvi,0.08558899203702536
precipitation_mm_roll7_sum,0.07915341821407026
soil_moisture_m3m3_lag1,0.07626604432017864
soil_moisture_m3m3,0.06514664238497712
aspect_mean_deg,0.05628491927529353
landsat_ndvi_lag7,0.035354358760917075
s2_ndvi_roll7_mean,0.02396891753237107
landsat_ndvi_lag14,0.020878417591178217
s2_ndvi_lag3,0.011174016424856558
lst_missing_flag,0.0
s2_ndsi,0.0
s2_ndvi_lag1,0.0
landsat_ndvi_roll7_mean,0.0
s2_ndwi,0.0
s2_savi,0.0
s2_ndvi_roll14_mean,0.0
s2_evi,0.0
s2_cloud_cover_percent,0.0
s2_ndvi_lag14,0.0
s2_ndvi,0.0
veg_data_quality,0.0
precipitation_mm_lag30,0.0
slope_min_deg,0.0
